PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Marcus Morris Sr.,LAC,30,62,26,36,31.2,16.7,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,1,4.1,5,1.4,1.6,0.8,0.5,2.9,26.9,3,0,0.7
Marcus Smart,BOS,26,60,39,21,32,12.9,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,0.7,3.1,3.8,4.9,1.7,1.7,0.5,2.7,29.5,3,0,4.7
Marial Shayok,PHI,24,4,2,2,7,2.8,0.8,3,25,0.5,1.5,33.3,0.8,1,75,0.3,1.5,1.8,0.3,0.8,0,0.3,1,5.2,0,0,-3.3
Mario Hezonja,POR,25,53,24,29,16.4,4.8,1.7,4.1,42.2,0.5,1.5,30.8,0.9,1.1,81.4,0.6,2.9,3.5,0.9,0.8,0.7,0.2,2,12.2,1,0,-3.3
Markelle Fultz,ORL,22,72,33,39,27.7,12.1,5,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73,0.6,2.7,3.3,5.1,2,1.3,0.2,2,25.9,4,1,-0.8
Markieff Morris,LAL,30,58,22,36,20.5,9.7,3.5,7.9,44.3,1.5,3.9,38.6,1.1,1.5,77.6,0.7,3.1,3.8,1.3,1.3,0.5,0.3,2.3,17.3,1,0,-2.2
Marko Guduric,MEM,25,44,19,25,11,3.9,1.4,3.6,39.5,0.6,1.9,30.1,0.5,0.6,92.3,0.3,1.3,1.7,1,0.8,0.3,0.2,0.8,8,0,0,-0.6
Marques Bolden,CLE,22,1,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,5.4,0,0,4
Marquese Chriss,GSW,22,59,15,44,20.3,9.3,3.6,6.5,54.5,0.1,0.7,20.5,2,2.6,76.9,1.9,4.3,6.2,1.9,1.3,0.7,1.1,2.1,23.4,9,0,-3.8
Marvin Bagley III,SAC,21,13,2,11,25.7,14.2,6,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3,0,-6.8
Marvin Williams,MIL,34,58,21,37,19.5,5.9,2.1,4.6,44.6,1,2.7,35.9,0.8,1,86,0.5,2.6,3.2,1,0.6,0.6,0.5,1.8,14.1,0,0,-1.4
Mason Plumlee,DEN,30,61,38,23,17.3,7.2,2.9,4.7,61.5,0,0.1,0,1.4,2.5,53.5,1.6,3.6,5.2,2.5,1.3,0.5,0.6,2.3,19.3,2,0,-0.9
Matisse Thybulle,PHI,23,65,40,25,19.8,4.7,1.7,4.1,42.3,0.9,2.4,35.7,0.4,0.6,61,0.7,1,1.6,1.2,0.8,1.4,0.7,2.2,14.2,0,0,0.6
Matt Mooney,CLE,23,4,0,4,4.7,0.5,0.3,1,25,0,0.5,0,0,0,0,0,0.8,0.8,0.3,0,0.5,0.3,0.3,4,0,0,1.8
Matt Thomas,TOR,25,41,31,10,10.7,4.9,1.8,3.7,48.7,1.1,2.4,47.5,0.2,0.3,75,0.2,1.3,1.5,0.5,0.4,0.2,0,0.9,7.9,0,0,1.6
Matthew Dellavedova,CLE,29,57,17,40,14.4,3.1,1.1,3.1,35.4,0.4,1.6,23.1,0.6,0.6,86.5,0.3,1,1.3,3.2,1,0.4,0,1.4,9.5,1,0,-0.2
Maurice Harkless,NYK,27,62,39,23,23,5.8,2.3,4.6,50.2,0.5,1.6,34.7,0.6,1.1,59.1,0.9,3,3.9,1.1,0.9,0.9,0.5,2.4,15.6,0,0,0.3
Max Strus,CHI,24,2,0,2,3.1,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100,0.5,0,0.5,0,0,0,0,0.5,3.1,0,0,7.5
Maxi Kleber,DAL,28,74,42,32,25.5,9.1,3.2,6.9,46.1,1.6,4.3,37.3,1.1,1.3,84.9,1.5,3.7,5.2,1.2,0.8,0.3,1.1,2.4,20.8,2,0,1.4
Melvin Frazier Jr.,ORL,23,19,6,13,6.6,2.1,0.8,1.8,44.1,0.4,0.8,50,0.1,0.2,50,0.1,0.4,0.5,0.2,0.3,0.5,0.1,0.6,4.4,0,0,-2.1
Meyers Leonard,MIA,28,51,34,17,20.3,6.1,2.3,4.6,50.9,1,2.5,41.4,0.4,0.5,64.3,0.6,4.5,5.1,1.1,0.8,0.3,0.3,2.1,14.7,2,0,1.5
Mfiondu Kabengele,LAC,22,12,9,3,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45,0.4,0.4,100,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0,0,-0.1
Michael Carter-Williams,ORL,28,45,21,24,18.5,7.2,2.5,5.8,42.7,0.5,1.7,29.3,1.8,2.1,83.2,1,2.2,3.3,2.4,1.2,1.1,0.5,1.9,18.3,0,0,0.5
Michael Frazier,HOU,26,13,7,6,11.1,2.1,0.5,2.2,24.1,0.3,1.8,17.4,0.7,1.1,64.3,0.1,0.7,0.8,0.2,0.4,0.2,0,1.7,3.3,0,0,-4.5
Michael Kidd-Gilchrist,DAL,26,25,12,13,11.2,2.4,0.9,2.6,33.3,0.2,0.8,25,0.4,0.6,78.6,0.6,2.1,2.7,0.6,0.6,0.1,0.2,1.5,6.8,0,0,0.4
Michael Porter Jr.,DEN,22,55,36,19,16.4,9.3,3.5,7,50.9,1.1,2.7,42.2,1.1,1.3,83.3,1.2,3.5,4.7,0.8,0.9,0.5,0.5,1.8,18.2,9,0,0.4
Mikal Bridges,PHX,23,73,34,39,28,9.1,3.4,6.6,51,1,2.7,36.1,1.4,1.7,84.4,0.9,3.1,4,1.8,1,1.4,0.6,2.2,21.7,1,0,1.6
Mike Conley,UTA,32,47,26,21,29,14.4,4.9,12.1,40.9,2,5.4,37.5,2.4,3,82.7,0.7,2.5,3.2,4.4,2,0.8,0.1,2.2,25.5,0,0,1.6
Mike Muscala,OKC,28,47,26,21,12.2,4.8,1.6,4,40.7,1.1,3,37.8,0.4,0.5,81.8,0.3,2,2.3,0.9,0.4,0.2,0.3,1.2,9.8,0,0,-0.4
Mike Scott,PHI,31,68,39,29,17.8,6,2.2,5.1,42.6,1.2,3.2,36.9,0.4,0.5,81.1,1,2.7,3.6,0.8,0.4,0.3,0.1,1.4,12.4,0,0,2.1
